GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JUberblog,de.weltraumschaf.juberblog.template,Template,0,153,0,4,0,38,0,14,0,12
JUberblog,de.weltraumschaf.juberblog.template,Layout,0,119,0,4,0,31,0,14,0,12
JUberblog,de.weltraumschaf.juberblog.template,Layout.DefaultContent,0,17,0,0,0,7,0,3,0,3
JUberblog,de.weltraumschaf.juberblog.template,Configurations,11,83,0,2,5,18,2,5,2,4
JUberblog,de.weltraumschaf.juberblog.template,Freemarker,3,7,0,0,2,1,1,1,1,1
JUberblog,de.weltraumschaf.juberblog.template,VarName,9,118,0,0,0,15,2,3,2,3
JUberblog,de.weltraumschaf.juberblog.cmd.install,InstallSubCommand,37,89,3,5,5,24,3,7,0,6
JUberblog,de.weltraumschaf.juberblog.cmd.install,Scaffold.DefaultSourceJarProvider,14,3,0,0,1,1,1,1,1,1
JUberblog,de.weltraumschaf.juberblog.cmd.install,Scaffold.CopyDirectoryVisitor,24,146,3,9,2,29,3,8,0,5
JUberblog,de.weltraumschaf.juberblog.cmd.install,InstallSubCommandExcpetion,14,0,0,0,5,0,2,0,2,0
JUberblog,de.weltraumschaf.juberblog.cmd.install,Scaffold.JarResource,0,57,0,4,0,13,0,6,0,4
JUberblog,de.weltraumschaf.juberblog.cmd.install,Scaffold,30,99,6,2,0,19,4,6,0,6
JUberblog,de.weltraumschaf.juberblog,App.new Object() {...},3,23,0,0,0,1,0,1,0,1
JUberblog,de.weltraumschaf.juberblog,App.new Runnable() {...},7,0,0,0,2,0,2,0,2,0
JUberblog,de.weltraumschaf.juberblog,Arguments,0,62,0,4,0,11,0,7,0,5
JUberblog,de.weltraumschaf.juberblog,Uris,5,72,0,0,2,13,1,8,1,8
JUberblog,de.weltraumschaf.juberblog,ExitCodeImpl,12,89,0,0,1,11,3,2,3,2
JUberblog,de.weltraumschaf.juberblog,Directories,20,113,0,0,4,27,4,13,4,13
JUberblog,de.weltraumschaf.juberblog,App,71,214,5,13,17,47,7,12,2,7
JUberblog,de.weltraumschaf.juberblog,Constants,9,140,0,0,0,17,2,3,2,3
JUberblog,de.weltraumschaf.juberblog,Envoronments.DefaultEnv,1,15,1,1,0,4,1,2,0,2
JUberblog,de.weltraumschaf.juberblog,Headline,0,61,0,8,0,11,0,7,0,3
JUberblog,de.weltraumschaf.juberblog,BlogConfiguration,5,119,0,0,0,31,0,20,0,20
JUberblog,de.weltraumschaf.juberblog,Preprocessor,0,222,0,22,0,49,0,18,0,7
JUberblog,de.weltraumschaf.juberblog,Envoronments,3,5,0,0,2,1,1,1,1,1
JUberblog,de.weltraumschaf.juberblog.files,BaseFilenameFilter,0,7,0,0,0,2,0,2,0,2
JUberblog,de.weltraumschaf.juberblog.files,HtmlFilenameFilter,0,12,0,0,0,3,0,2,0,2
JUberblog,de.weltraumschaf.juberblog.files,MarkdownFilenameFilter,0,12,0,0,0,3,0,2,0,2
JUberblog,de.weltraumschaf.juberblog.files,FilenameFilters,7,4,0,0,3,1,2,1,2,1
JUberblog,de.weltraumschaf.juberblog.opt,PublishOptions,0,60,0,0,0,11,0,6,0,6
JUberblog,de.weltraumschaf.juberblog.opt,CommonOptions,0,30,0,0,0,7,0,4,0,4
JUberblog,de.weltraumschaf.juberblog.opt,InstallOptions,0,37,0,0,0,7,0,4,0,4
JUberblog,de.weltraumschaf.juberblog.opt,CreateAndPublishOptions,0,30,0,0,0,6,0,3,0,3
JUberblog,de.weltraumschaf.juberblog.opt,CreateOptions,0,58,0,0,0,11,0,6,0,6
JUberblog,de.weltraumschaf.juberblog.cmd,BaseSubCommand,0,24,0,0,0,11,0,4,0,4
JUberblog,de.weltraumschaf.juberblog.cmd,CommonCreateAndPublishSubCommand,28,98,0,4,5,27,1,11,1,9
JUberblog,de.weltraumschaf.juberblog.cmd,SubCommands.new Object() {...},3,23,0,0,0,1,0,1,0,1
